id,bussinessid,rating,user,text,time_created,url
5_aKneoeud9V75NeTNh3pA,MLf4k9S4A0MqouGDr9f69w,5.0,"{'id': '8z8SVZNhP9x17Pwv5aQKmA', 'profile_url': 'https://www.yelp.com/user_details?userid=8z8SVZNhP9x17Pwv5aQKmA', 'image_url': 'https://s3-media3.fl.yelpcdn.com/photo/AHsDfUb3xovPeAR0yu-qlQ/o.jpg', 'name': 'Huitzilihuitl C.'}","Se trata de un lugar fabuloso. Sencillo y casero, bien podría ser el cuarto o cochera de un buen amigo o de uno mismo. Un lugar donde el detalle del sabor...",2014-01-19 21:31:19,https://www.yelp.com/biz/beer-bros-m%C3%A9xico?adjust_creative=xDKeFNUg3YH3P2W3fl1X6g&hrid=5_aKneoeud9V75NeTNh3pA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=xDKeFNUg3YH3P2W3fl1X6g
6ifDysi6jqKUblXMMXFIbw,MLf4k9S4A0MqouGDr9f69w,4.0,"{'id': 'w93I6aXevBcxo_HYL-4PLA', 'profile_url': 'https://www.yelp.com/user_details?userid=w93I6aXevBcxo_HYL-4PLA', 'image_url': 'https://s3-media3.fl.yelpcdn.com/photo/1W4-jKfDT7Pn-F7dgXfVYw/o.jpg', 'name': 'David O.'}","Beber cerveza es toda una materia. Fermentación, maltas, trigos, temperaturas, vasos, inclinación correcta... en fin, un arte que requiere de paciencia y...",2014-01-19 20:50:49,https://www.yelp.com/biz/beer-bros-m%C3%A9xico?adjust_creative=xDKeFNUg3YH3P2W3fl1X6g&hrid=6ifDysi6jqKUblXMMXFIbw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=xDKeFNUg3YH3P2W3fl1X6g
Y0tVs8oqbjkX8SOn1UtGog,MLf4k9S4A0MqouGDr9f69w,4.0,"{'id': 'qZBcwrnYI5vZyWcDGqFReQ', 'profile_url': 'https://www.yelp.com/user_details?userid=qZBcwrnYI5vZyWcDGqFReQ', 'image_url': 'https://s3-media3.fl.yelpcdn.com/photo/l0vNrgOH92SJjI-GaLeinw/o.jpg', 'name': 'Iván C.'}","Hace un par de días pasé por segunda vez frente a este local, y esta vez sí tuve tiempo para no desaprovechar la ocasión de entrar y conocer: es un pequeño...",2014-02-04 11:08:28,https://www.yelp.com/biz/beer-bros-m%C3%A9xico?adjust_creative=xDKeFNUg3YH3P2W3fl1X6g&hrid=Y0tVs8oqbjkX8SOn1UtGog&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=xDKeFNUg3YH3P2W3fl1X6g
tj0-nCt9UbWGMwW2rPTm5A,OEl1HJB0Yl8a6r5f7nveaw,3.0,"{'id': 'mGDtJ4LT_UVWm7yfemkwgA', 'profile_url': 'https://www.yelp.com/user_details?userid=mGDtJ4LT_UVWm7yfemkwgA', 'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/nW9iTyuuzO1INH_olHTVwg/o.jpg', 'name': 'Eve R.'}","Es uno de los lugares más tradicionales de la colonia. La cerveza es barata, así como la comida. Es buenísimo para venir a ver el partido de fucho de la...",2016-02-22 22:14:11,https://www.yelp.com/biz/cervecer%C3%ADa-la-victoria-m%C3%A9xico-2?adjust_creative=xDKeFNUg3YH3P2W3fl1X6g&hrid=tj0-nCt9UbWGMwW2rPTm5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=xDKeFNUg3YH3P2W3fl1X6g
iuELInov0bF5Qw4ZePg_BA,OEl1HJB0Yl8a6r5f7nveaw,5.0,"{'id': 'xmXCl6HmsguYzLwm5TYQXg', 'profile_url': 'https://www.yelp.com/user_details?userid=xmXCl6HmsguYzLwm5TYQXg', 'image_url': 'https://s3-media4.fl.yelpcdn.com/photo/qbCdp5NYLPLP8ZlFexC_JA/o.jpg', 'name': 'Catalina M.'}","La querida Vicky es lo único interesante de la Álamos. La bola incluye botana y hay variedad de mariscos. Uno sale apestando a pescado invariablemente, pero...",2016-11-18 17:27:58,https://www.yelp.com/biz/cervecer%C3%ADa-la-victoria-m%C3%A9xico-2?adjust_creative=xDKeFNUg3YH3P2W3fl1X6g&hrid=iuELInov0bF5Qw4ZePg_BA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=xDKeFNUg3YH3P2W3fl1X6g
Ob6jbtH7wX-f-gLZ0cqrLw,OEl1HJB0Yl8a6r5f7nveaw,2.0,"{'id': 'VmfQUyfbqY3XAKQH4v2DFg', 'profile_url': 'https://www.yelp.com/user_details?userid=VmfQUyfbqY3XAKQH4v2DFg', 'image_url': 'https://s3-media3.fl.yelpcdn.com/photo/b6rGx_jXzBxoprCuaeyrXw/o.jpg', 'name': 'Atzin S.'}","La cerveza a buen precio y hay de ambas compañías nacionales conocidas. La comida con mucho aceite, el pescado nada en el y por $60 no puedes pedir mucho...",2017-01-16 17:22:08,https://www.yelp.com/biz/cervecer%C3%ADa-la-victoria-m%C3%A9xico-2?adjust_creative=xDKeFNUg3YH3P2W3fl1X6g&hrid=Ob6jbtH7wX-f-gLZ0cqrLw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=xDKeFNUg3YH3P2W3fl1X6g
9psgynpnN3Jcny4KTZn6GA,F9Vz6tbQLqAVl_jfCHHo5Q,4.0,"{'id': '20DUe88cqSSXdx79j__m9g', 'profile_url': 'https://www.yelp.com/user_details?userid=20DUe88cqSSXdx79j__m9g', 'image_url': 'https://s3-media3.fl.yelpcdn.com/photo/zdCzbIO3NWTEi6Da230lkA/o.jpg', 'name': 'Misti C.'}","En general, me parece que es un restaurante muy bien decorado, con un ambiente de estancia argentina y elegancia. 
Sin embargo, el servicio no fue de lo...",2016-09-12 11:09:34,https://www.yelp.com/biz/fonda-argentina-benito-ju%C3%A1rez?adjust_creative=xDKeFNUg3YH3P2W3fl1X6g&hrid=9psgynpnN3Jcny4KTZn6GA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=xDKeFNUg3YH3P2W3fl1X6g
OUjOl7J_F-savivTR5WFJw,F9Vz6tbQLqAVl_jfCHHo5Q,4.0,"{'id': 'x-Cfb-0-xiTaR0S1CBQ8OA', 'profile_url': 'https://www.yelp.com/user_details?userid=x-Cfb-0-xiTaR0S1CBQ8OA', 'image_url': 'https://s3-media1.fl.yelpcdn.com/photo/5wGJrWj7g2emeD9D3m2M1Q/o.jpg', 'name': 'Carlos M.'}","Excelente carne , excelente servicio... todo súper familiar... no dejen de comer aquí!!!",2017-11-25 14:49:48,https://www.yelp.com/biz/fonda-argentina-benito-ju%C3%A1rez?adjust_creative=xDKeFNUg3YH3P2W3fl1X6g&hrid=OUjOl7J_F-savivTR5WFJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=xDKeFNUg3YH3P2W3fl1X6g
XsyT2lFMJUhy5c4gZgDuPA,F9Vz6tbQLqAVl_jfCHHo5Q,4.0,"{'id': 'S1ZSKDatAihrVH4duwiDWg', 'profile_url': 'https://www.yelp.com/user_details?userid=S1ZSKDatAihrVH4duwiDWg', 'image_url': 'https://s3-media1.fl.yelpcdn.com/photo/eNPdPETfTgaSNpV9ZZOirQ/o.jpg', 'name': 'Phanie C.'}","Papá es fan, mega fan de la carne. Y como buen ""hijo de tigre pintito"", no me pude quedar atrás. 

Ya sea cumpleaños, logros o simplemente por el gusto de...",2014-01-09 21:43:07,https://www.yelp.com/biz/fonda-argentina-benito-ju%C3%A1rez?adjust_creative=xDKeFNUg3YH3P2W3fl1X6g&hrid=XsyT2lFMJUhy5c4gZgDuPA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=xDKeFNUg3YH3P2W3fl1X6g
rO2FXt-BR5fdiKz2EVahBQ,JHNWQiJPD6mnKBTDaBhREg,5.0,"{'id': 'oBT6dnQF7JHTjyKCg0q4MA', 'profile_url': 'https://www.yelp.com/user_details?userid=oBT6dnQF7JHTjyKCg0q4MA', 'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/Pof_DIXfnB6W7cawoWBLew/o.jpg', 'name': 'Mario M.'}","El ""dos"" de este Hop experience está bien ganado: el lugar es un gran bodegón con food truck, alambiques, bancas de madera y tienda de chelas all in one. Su...",2016-10-24 19:43:32,https://www.yelp.com/biz/hop-the-beer-experience-2-ciudad-de-m%C3%A9xico?adjust_creative=xDKeFNUg3YH3P2W3fl1X6g&hrid=rO2FXt-BR5fdiKz2EVahBQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=xDKeFNUg3YH3P2W3fl1X6g
