id,name,description,user,followers,editable,collaborative,canonicalUrl,photo,updatedAt,venue
4e5c18f3091a7a61047f1d68,All-time favorites in Mexico,,"{'id': '12634993', 'firstName': 'Veneno', 'lastName': 'R', 'photo': {'prefix': 'https://fastly.4sqi.net/img/user/', 'suffix': '/12634993-VYFZ0YEZRJS0M2SJ.jpg'}}",{'count': 3},False,False,https://foursquare.com/venenodcrc/list/alltime-favorites-in-mexico,,1389034356.0,4e7bf34f45dd6e4363fa50f6
512f92d8e4b01da1308f5401,lugares para enfiestarse,,"{'id': '45337144', 'firstName': 'Toxi', 'lastName': 'K', 'photo': {'prefix': 'https://fastly.4sqi.net/img/user/', 'suffix': '/HI1J5HNOQAXAA3A3.jpg'}}",{'count': 1},False,False,https://foursquare.com/user/45337144/list/lugares-para-enfiestarse,,1418148543.0,4e7bf34f45dd6e4363fa50f6
51343432e4b09012a58c5b1e,Baresines...,,"{'id': '44549962', 'firstName': 'Liizz', 'lastName': 'F', 'photo': {'prefix': 'https://fastly.4sqi.net/img/user/', 'suffix': '/XNX4ISWW0DE1TLTW.jpg'}}",{'count': 1},False,False,https://foursquare.com/user/44549962/list/baresines,,1387475508.0,4e7bf34f45dd6e4363fa50f6
553c4663498eb0ef1dd3dfda,cuuumbiaaa,,"{'id': '60547422', 'firstName': 'Monica', 'lastName': 'A', 'photo': {'prefix': 'https://fastly.4sqi.net/img/user/', 'suffix': '/60547422-UNSRNKABXQNU4AKA.jpg'}}",{'count': 0},False,False,https://foursquare.com/user/60547422/list/cuuumbiaaa,"{'id': '4fb9ebfbe4b0d55659c7875e', 'createdAt': 1337584635, 'prefix': 'https://fastly.4sqi.net/img/general/', 'suffix': '/53KltpmaXgPEymXs0K5qgYl6m61nrMuVpyvDYKLmxa4.jpg', 'width': 540, 'height': 720, 'user': {'id': '25725334', 'firstName': 'Carlos', 'lastName': 'R', 'photo': {'prefix': 'https://fastly.4sqi.net/img/user/', 'suffix': '/N33QWKNKF2E20PMR.jpg'}}, 'visibility': 'public'}",1430014127.0,4e7bf34f45dd6e4363fa50f6
53aed25611d21281aa6c60f3,CineClub,,"{'id': '31059906', 'firstName': 'BrEn', 'photo': {'prefix': 'https://fastly.4sqi.net/img/user/', 'suffix': '/31059906_iU0MiSf0_3ke2s9Chq5nPH4PNLbmCznFmBBFbaIBV9O3CzI-ZwglRYwKQQIb_T4viR5vXFMFt.jpg'}}",{'count': 0},False,False,https://foursquare.com/skbren21/list/cineclub,,1404574833.0,4e7bf34f45dd6e4363fa50f6
53ebfaed498e87fce987700b,Rock DF,,"{'id': '3711716', 'firstName': 'Mike', 'lastName': 'A', 'photo': {'prefix': 'https://fastly.4sqi.net/img/user/', 'suffix': '/B15GDF31WTMWGLN5.jpg'}}",{'count': 0},False,False,https://foursquare.com/user/3711716/list/rock-df,"{'id': '4faf52fde4b01cbf3088d9c8', 'createdAt': 1336890109, 'prefix': 'https://fastly.4sqi.net/img/general/', 'suffix': '/QPUrkzd-8cbrJxlkg9jHHEOuxrtay7-T9PeAFEM09yE.jpg', 'width': 540, 'height': 720, 'user': {'id': '4448890', 'firstName': 'Moises', 'lastName': 'G', 'photo': {'prefix': 'https://fastly.4sqi.net/img/user/', 'suffix': '/4448890-BTGV53JIO0DNPUSF.jpg'}}, 'visibility': 'public'}",1407976107.0,4e7bf34f45dd6e4363fa50f6
51f92151498e806ca5c1c125,para vivir de noche,,"{'id': '11672728', 'firstName': 'Raul', 'lastName': 'V', 'photo': {'prefix': 'https://fastly.4sqi.net/img/user/', 'suffix': '/11672728-USGSZKLDLVRHNL05'}}",{'count': 0},False,False,https://foursquare.com/raulvcruz/list/para-vivir-de-noche,,1390534258.0,4e7bf34f45dd6e4363fa50f6
53347c70498e277d36672951,Dancehall,,"{'id': '28786919', 'firstName': 'Miranda', 'lastName': 'C', 'photo': {'prefix': 'https://fastly.4sqi.net/img/user/', 'suffix': '/28786919_FVAE7J9a_bIvqgkf9M4_SB5z5ZuwLvUXYVmJkQQk0rP0YhjeRxL-SsRtt4YOxQrz-55_00w8d.jpg'}}",{'count': 0},False,False,https://foursquare.com/modachilanga/list/dancehall,,1401644240.0,4e7bf34f45dd6e4363fa50f6
50de5e11e4b0167bcbca4aa8,Reventón,,"{'id': '13790778', 'firstName': 'Persona', 'lastName': 'C', 'photo': {'prefix': 'https://fastly.4sqi.net/img/user/', 'suffix': '/13790778-YIWCSCLC1ZYFRTNX.jpg'}}",{'count': 0},False,False,https://foursquare.com/user/13790778/list/revent%C3%B3n,"{'id': '53ab543211d24cd0e77b6dde', 'createdAt': 1403737138, 'prefix': 'https://fastly.4sqi.net/img/general/', 'suffix': '/60625583_zUS6g8U30aOGb6l-Bu3gjlUQ7BGvOtFmS6p20FEsvF0.jpg', 'width': 1499, 'height': 1035, 'user': {'id': '60625583', 'firstName': 'Eleine', 'lastName': 'H', 'photo': {'prefix': 'https://fastly.4sqi.net/img/user/', 'suffix': '/blank_boy.png', 'default': True}}, 'visibility': 'public'}",1475944353.0,4e7bf34f45dd6e4363fa50f6
53bd6067498e178843ce5908,Nocturno,,"{'id': '24566448', 'firstName': 'Moisés', 'lastName': 'M', 'photo': {'prefix': 'https://fastly.4sqi.net/img/user/', 'suffix': '/24566448-A10IPNAXJRTWGYJY.jpg'}}",{'count': 0},False,False,https://foursquare.com/el_mois/list/nocturno,"{'id': '4f890ddfe4b09efba129a65d', 'createdAt': 1334382047, 'prefix': 'https://fastly.4sqi.net/img/general/', 'suffix': '/HHUhvOnWin1jHNKzg2LKKl-4Tv3uKXrc8Ris5EtiT6A.jpg', 'width': 540, 'height': 720, 'user': {'id': '24937842', 'firstName': 'Sergio', 'lastName': 'L', 'photo': {'prefix': 'https://fastly.4sqi.net/img/user/', 'suffix': '/24937842-1MGRY4ISTDSMYNSI.jpg'}}, 'visibility': 'public'}",1468356295.0,4e7bf34f45dd6e4363fa50f6
